meeting_airport,total_cost,path1,cost1,path2,cost2
LCH,714,MSP->ORD->LCH,390,LAX->SAT->LCH,324
CMI,714,MSP->ORD->TYS->CMI,341,LAX->PIT->CMI,373
SBN,714,MSP->EWR->SBN,368,LAX->SBN,346
ISP,727,MSP->ORD->CLT->ISP,397,LAX->PHX->ISP,330
GST,727,MSP->SEA->JNU->GST,441,LAX->SEA->JNU->GST,286
RST,740,MSP->RST,353,LAX->RST,387
BTV,743,MSP->MDT->BTV,379,LAX->BTV,364
GNV,743,MSP->ORD->GNV,359,LAX->GNV,384
YKM,745,MSP->SEA->YKM,450,LAX->SEA->YKM,295
HHH,746,MSP->BWI->HHH,368,LAX->BWI->HHH,378
HDN,747,MSP->DEN->RNO->HDN,451,LAX->PHX->HDN,296
EYW,748,MSP->ORD->EYW,390,LAX->SAN->EYW,358
SJT,748,MSP->ORD->SJT,406,LAX->SAT->SJT,342
TLH,748,MSP->IAH->TLH,379,LAX->IAH->TLH,369
CLL,752,MSP->ORD->DAY->CLL,389,LAX->ABQ->CLL,363
YUM,752,MSP->COS->YUM,368,LAX->DEN->COS->YUM,384
GTF,753,MSP->DEN->GTF,392,LAX->SJC->GTF,361
LAW,753,MSP->ORD->MSN->LAW,366,LAX->AUS->LAW,387
DLH,754,MSP->ORD->MKE->DLH,385,LAX->DLH,369
CAK,755,MSP->OAJ->CAK,409,LAX->BDL->CAK,346
BFF,756,MSP->DEN->BFF,373,LAX->DEN->BFF,383
LAR,756,MSP->DEN->LAR,373,LAX->DEN->LAR,383
ITO,758,MSP->DEN->LAX->LIH->ITO,490,LAX->LIH->ITO,268
SPS,762,MSP->ORD->MKE->SPS,351,LAX->ORD->MKE->SPS,411
BPT,772,MSP->ORD->ORF->BPT,454,LAX->SAN->BPT,318
ALW,775,MSP->SEA->ALW,465,LAX->SEA->ALW,310
LRD,776,MSP->DEN->LRD,429,LAX->PHX->LRD,347
GTR,778,MSP->DEN->GTR,393,LAX->ABQ->GTR,385
BRO,778,MSP->DEN->BRO,449,LAX->TUS->BRO,329
BIS,782,MSP->ORD->BIS,371,LAX->AUS->BIS,411
PGV,782,MSP->ORD->AVL->PGV,377,LAX->MCO->PGV,405
ABE,795,MSP->OAJ->ABE,388,LAX->AUS->ABE,407
RDD,798,MSP->DEN->PDX->RDD,466,LAX->SEA->RDD,332
SIT,809,MSP->SEA->JNU->SIT,482,LAX->SEA->JNU->SIT,327
CWA,810,MSP->CWA,386,LAX->SEA->SLC->CWA,424
SCE,810,MSP->ORD->ORF->SCE,394,LAX->BOS->SCE,416
DAB,814,MSP->DAB,387,LAX->BDL->DAB,427
EGE,818,MSP->IAH->EGE,414,LAX->IAH->EGE,404
PRC,820,MSP->DEN->PRC,483,LAX->PRC,337
PUW,825,MSP->SEA->PUW,490,LAX->SEA->PUW,335
ACT,833,MSP->ORD->OKC->ACT,390,LAX->ACT,443
PQI,834,MSP->ORD->BOS->PQI,412,LAX->BOS->PQI,422
BFL,838,MSP->BFL,387,LAX->PHX->BFL,451
PSG,839,MSP->SEA->JNU->PSG,497,LAX->SEA->JNU->PSG,342
TYR,848,MSP->ORD->PHL->TYR,528,LAX->SAN->TYR,320
HTS,853,MSP->ORD->OKC->HTS,421,LAX->MFE->ATL->HTS,432
ERI,856,MSP->ORD->MCI->ERI,440,LAX->MCI->ERI,416
YAK,857,MSP->SEA->JNU->YAK,506,LAX->SEA->JNU->YAK,351
WRG,863,MSP->SEA->JNU->WRG,509,LAX->SEA->JNU->WRG,354
MLB,865,MSP->ORD->DAY->MLB,431,LAX->MLB,434
GCC,876,MSP->DEN->GCC,433,LAX->DEN->GCC,443
SUX,876,MSP->DEN->SUX,433,LAX->DEN->SUX,443
RKS,876,MSP->DEN->RKS,433,LAX->DEN->RKS,443
DDC,876,MSP->DEN->DDC,433,LAX->DEN->DDC,443
HYS,876,MSP->DEN->HYS,433,LAX->DEN->HYS,443
FLO,884,MSP->ORD->OKC->FLO,443,LAX->RIC->FLO,441
MQT,885,MSP->ORD->SDF->MQT,418,LAX->MCO->MQT,467
SLN,896,MSP->DEN->SLN,443,LAX->DEN->SLN,453
RIW,896,MSP->DEN->RIW,443,LAX->DEN->RIW,453
SHR,896,MSP->DEN->SHR,443,LAX->DEN->SHR,453
KTN,903,MSP->SEA->JNU->KTN,529,LAX->SEA->JNU->KTN,374
ART,926,MSP->IAH->ART,468,LAX->IAH->ART,458
VRB,947,MSP->ORD->PVD->VRB,526,LAX->PVD->VRB,421
BTM,956,MSP->DEN->BTM,473,LAX->DEN->BTM,483
ALO,956,MSP->ORD->PHL->ALO,448,LAX->ORD->PHL->ALO,508
MOT,980,MSP->ORD->MCI->MOT,502,LAX->MCI->MOT,478
GRI,982,MSP->EWR->ATL->GRI,490,LAX->MFE->ATL->GRI,492
GCK,982,MSP->EWR->ATL->GCK,490,LAX->MFE->ATL->GCK,492
CDV,985,MSP->SEA->ANC->CDV,570,LAX->SEA->ANC->CDV,415
CMX,992,MSP->ORD->CMX,466,LAX->ORD->CMX,526
ORH,993,MSP->EWR->FLL->ORH,499,LAX->SFO->FLL->ORH,494
HVN,997,MSP->ORD->MCO->HVN,508,LAX->MCO->HVN,489
SWO,998,MSP->ORD->SDF->SWO,469,LAX->ORD->SDF->SWO,529
JLN,1016,MSP->DEN->JLN,503,LAX->DEN->JLN,513
MGW,1017,MSP->IAD->MGW,449,LAX->SEA->IAD->MGW,568
JST,1017,MSP->IAD->JST,449,LAX->SEA->IAD->JST,568
PLN,1038,MSP->BWI->PLN,514,LAX->BWI->PLN,524
XWA,1044,MSP->IAD->XWA,486,LAX->ABQ->XWA,558
ADQ,1044,MSP->ORD->ADQ,590,LAX->SEA->ANC->ADQ,454
CIU,1046,MSP->ORD->CLE->CIU,506,LAX->SFO->CIU,540
PIB,1060,MSP->IAH->PIB,535,LAX->IAH->PIB,525
BET,1061,MSP->SEA->ANC->BET,608,LAX->SEA->ANC->BET,453
JMS,1076,MSP->DEN->JMS,533,LAX->DEN->JMS,543
MEI,1080,MSP->IAH->MEI,545,LAX->IAH->MEI,535
ESC,1082,MSP->ESC,430,LAX->DEN->MSP->ESC,652
AKN,1095,MSP->SEA->ANC->AKN,625,LAX->SEA->ANC->AKN,470
DLG,1095,MSP->SEA->ANC->DLG,625,LAX->SEA->ANC->DLG,470
DVL,1096,MSP->DEN->DVL,543,LAX->DEN->DVL,553
RHI,1120,MSP->ORD->STL->RHI,543,LAX->PHX->STL->RHI,577
LWS,1131,MSP->SEA->LWS,643,LAX->SEA->LWS,488
TWF,1132,MSP->DEN->TWF,597,LAX->LAS->TWF,535
ITH,1137,MSP->ORD->JFK->ITH,569,LAX->JFK->ITH,568
PIH,1146,MSP->DEN->SLC->PIH,597,LAX->SEA->SLC->PIH,549
OTZ,1155,MSP->SEA->ANC->OTZ,655,LAX->SEA->ANC->OTZ,500
OME,1161,MSP->SEA->ANC->OME,658,LAX->SEA->ANC->OME,503
COD,1176,MSP->DEN->COD,583,LAX->DEN->COD,593
BRW,1195,MSP->SEA->ANC->BRW,675,LAX->SEA->ANC->BRW,520
BJI,1220,MSP->ORD->BJI,580,LAX->ORD->BJI,640
INL,1220,MSP->ORD->INL,580,LAX->ORD->INL,640
EKO,1236,MSP->DEN->EKO,613,LAX->DEN->EKO,623
SCC,1243,MSP->ORD->FAI->SCC,658,LAX->SEA->ANC->SCC,585
DHN,1263,MSP->ORD->CLT->DHN,632,LAX->MCO->DHN,631
GFK,1267,MSP->ORD->GFK,612,LAX->DEN->GFK,655
GGG,1272,MSP->DEN->DFW->GGG,631,LAX->DEN->DFW->GGG,641
ELM,1272,MSP->ORD->DTW->ELM,606,LAX->ORD->DTW->ELM,666
DIK,1276,MSP->DEN->DIK,633,LAX->DEN->DIK,643
ABY,1279,MSP->ORD->ABY,643,LAX->CHS->ABY,636
PVU,1292,MSP->DEN->SNA->PVU,719,LAX->SEA->SNA->PVU,573
BGM,1302,MSP->ORD->DTW->BGM,621,LAX->ORD->DTW->BGM,681
ACV,1309,MSP->DEN->PDX->ACV,714,LAX->SEA->PDX->ACV,595
APN,1326,MSP->ORD->DCA->APN,633,LAX->ORD->DCA->APN,693
HOB,1356,MSP->DEN->HOB,673,LAX->DEN->HOB,683
VLD,1370,MSP->ORD->VLD,673,LAX->GPT->VLD,697
BQK,1374,MSP->ORD->BQK,673,LAX->BWI->BQK,701
LNK,1448,MSP->ORD->STL->LNK,707,LAX->PHX->STL->LNK,741
CPR,1489,MSP->DEN->BOI->CPR,800,LAX->SEA->BOI->CPR,689
ABR,1552,MSP->DEN->ABQ->ABR,815,LAX->ABQ->ABR,737
IMT,1608,MSP->ORD->DCA->IMT,774,LAX->ORD->DCA->IMT,834
CDC,1660,MSP->IAH->CDC,835,LAX->IAH->CDC,825
BRD,1778,MSP->DEN->PHX->BRD,969,LAX->PHX->BRD,809
