meeting_airport,total_cost,path1,cost1,path2,cost2,path3,cost3
LAW,1236,MSP->ORD->MSN->LAW,366,LAX->AUS->LAW,387,HOU->ORD->MSN->LAW,483
RDD,1246,MSP->DEN->PDX->RDD,466,LAX->SEA->RDD,332,HOU->BOI->RDD,448
LRD,1247,MSP->DEN->LRD,429,LAX->PHX->LRD,347,HOU->LIT->LRD,471
CWA,1250,MSP->CWA,386,LAX->SEA->SLC->CWA,424,HOU->OKC->CWA,440
DAB,1258,MSP->DAB,387,LAX->BDL->DAB,427,HOU->DAY->DAB,444
FLO,1259,MSP->ORD->OKC->FLO,443,LAX->RIC->FLO,441,HOU->RIC->FLO,375
BRO,1260,MSP->DEN->BRO,449,LAX->TUS->BRO,329,HOU->ATL->BRO,482
HDN,1260,MSP->DEN->RNO->HDN,451,LAX->PHX->HDN,296,HOU->BOI->SEA->PHX->HDN,513
BIS,1261,MSP->ORD->BIS,371,LAX->AUS->BIS,411,HOU->ATL->BIS,479
HHH,1264,MSP->BWI->HHH,368,LAX->BWI->HHH,378,HOU->ORD->BWI->HHH,518
ACT,1267,MSP->ORD->OKC->ACT,390,LAX->ACT,443,HOU->OKC->ACT,434
GTF,1271,MSP->DEN->GTF,392,LAX->SJC->GTF,361,HOU->BOI->GTF,518
SJT,1271,MSP->ORD->SJT,406,LAX->SAT->SJT,342,HOU->ORD->SJT,523
PGV,1276,MSP->ORD->AVL->PGV,377,LAX->MCO->PGV,405,HOU->ORD->AVL->PGV,494
BPT,1283,MSP->ORD->ORF->BPT,454,LAX->SAN->BPT,318,HOU->ORF->BPT,511
SIT,1286,MSP->SEA->JNU->SIT,482,LAX->SEA->JNU->SIT,327,HOU->BOI->SEA->JNU->SIT,477
BFF,1295,MSP->DEN->BFF,373,LAX->DEN->BFF,383,HOU->DSM->DEN->BFF,539
LAR,1295,MSP->DEN->LAR,373,LAX->DEN->LAR,383,HOU->DSM->DEN->LAR,539
PQI,1301,MSP->ORD->BOS->PQI,412,LAX->BOS->PQI,422,HOU->DTW->BOS->PQI,467
MLB,1302,MSP->ORD->DAY->MLB,431,LAX->MLB,434,HOU->DAY->MLB,437
EGE,1304,MSP->IAH->EGE,414,LAX->IAH->EGE,404,HOU->ATL->EGE,486
PUW,1310,MSP->SEA->PUW,490,LAX->SEA->PUW,335,HOU->BOI->SEA->PUW,485
GTR,1329,MSP->DEN->GTR,393,LAX->ABQ->GTR,385,HOU->COS->GTR,551
PSG,1331,MSP->SEA->JNU->PSG,497,LAX->SEA->JNU->PSG,342,HOU->BOI->SEA->JNU->PSG,492
GCK,1348,MSP->EWR->ATL->GCK,490,LAX->MFE->ATL->GCK,492,HOU->ATL->GCK,366
GRI,1348,MSP->EWR->ATL->GRI,490,LAX->MFE->ATL->GRI,492,HOU->ATL->GRI,366
YAK,1358,MSP->SEA->JNU->YAK,506,LAX->SEA->JNU->YAK,351,HOU->BOI->SEA->JNU->YAK,501
